n_no kokgi_v 閩南語詞目
273 工尺譜 上尺工
273 音階名 上尺工
274 三心二意 三心兩意
275 大口喘氣 大心氣
275 呼吸急促 大心氣
275 氣喘吁吁 大心氣
275 氣喘如牛 大心氣
275 喘不過氣 大心氣
275 喘噓噓 大心氣
276 千斤頂 千斤秤
276 起重機 千斤秤
276 鐵人 千斤秤
277 鮭魚 三文魚
278 下水湯 下水湯
279 主位 大爿
279 多數 大爿
279 強者 大爿
280 丸 丸仔
280 丸子 丸仔
281 大哥 大兄
281 老大 大兄
281 哥哥 大兄
282 小工 工仔
282 工人 工仔
282 零工 工仔
283 巾 巾仔
283 布巾 巾仔
284 彈簧 弓仔
285 擅作主張 大主大意
286 大事情 大代誌
287 至多 上加
287 頂多 上加
287 最多 上加
288 北上 上北
289 下屬 下司
289 手下 下司
289 部下 下司
289 部屬 下司
289 屬下 下司
290 土包子 土包仔
290 鄉巴佬 土包仔
291 少許 小可仔
291 些許 小可仔
291 稍微 小可仔
292 到處 大四界
292 處處 大四界
292 遍地 大四界
293 中年 上卌袂攝
294 下半夜 下半暝
294 後半夜 下半暝
295 上市 上市
296 下本錢 下本
296 投資 下本
296 資本 下本
297 大本錢 大本
297 大型 大本
298 小旦 小旦
299 青睞 上目
300 口白 口白
300 旁白 口白
301 大眼睛 大目
302 小生 小生
303 小玉西瓜 小玉仔
304 小白菜 小白菜
305 大甲草蓆 大甲蓆
306 上任 上任
306 就職 上任
307 久仰 久仰
308 干休 干休
309 大名 大名
310 大兒子 大囝
310 長子 大囝
310 長男 大囝
311 外號 小名
311 乳名 小名
312 小子 小囝
313 青椒 大同仔
314 最好 上好
315 也好 也好
315 也行 也好
316 土地 土地
317 土地公 土地公
318 今早 下早仔
318 早上 下早仔
318 早晨 下早仔
319 傻瓜 大耳
320 口吃 大舌
321 大伯 大伯
321 大伯子 大伯
322 主位 大位
323 工作 工作
323 作事 工作
323 事情 工作
323 職業 工作
324 梁山伯與祝英台 山伯英台
324 梁山伯與祝英臺 山伯英台
325 舅媽 大妗
326 山頂 山尾溜
326 墓地 山尾溜
327 子弟 子弟
328 小弟 小弟
329 子弟戲 子弟戲
330 三更 三更
330 三更半夜 三更
330 午夜 三更
331 三更 三更半暝
331 三更半夜 三更半暝
331 午夜 三更半暝
331 半夜 三更半暝
331 深夜 三更半暝
332 戶 口灶
332 住戶 口灶
333 膀胱 小肚
334 大肚子 大肚胿
334 食量大 大肚胿
334 懷孕 大肚胿
335 三毛 三角
335 三角 三角
336 久違 久見
337 山谷 山谷
337 山溝 山谷
337 山澗 山谷
338 川芎 川芎
338 芎藭 川芎
339 川貝 川貝
339 貝母 川貝
339 藥實 川貝
340 干貝 干貝
341 千里眼 千里眼
342 房子 三角窗
342 路口轉角 三角窗
343 三角褲 三角褲
344 望遠鏡 千里鏡
345 久而久之 久來
345 日積月累 久來
345 經年累月 久來
346 口供 口供
347 大使 大使
348 小事 小事
349 小弟 小使
349 卒 小使
349 跑腿的 小使
350 工程 工事
351 女兒 女兒
352 小叔 小叔
353 小卷 小管仔
353 小管 小管仔
354 小兒科 小兒科
355 小兒麻痺 小兒麻痺
355 急性脊髓灰白質炎 小兒麻痺
356 小山坡 山坪
356 山坡地 山坪
357 丈母娘 丈姆
357 岳母 丈姆
358 大伯母 大姆
359 大姊 大姊
359 姊姊 大姊
360 大姑 大姑
361 小妹 小妹
362 姑娘 小姐
363 小姑 小姑
364 丈母娘 丈姆婆
364 岳母 丈姆婆
365 下面 下底
365 底下 下底
366 公公 大官
367 官僚 大官虎
367 權臣 大官虎
368 粗魯 土性
369 拚命 下性命
369 拼命 下性命
369 搏命 下性命
369 賣力 下性命
370 長房 大房
371 大拖 大拖
372 今晚 下昏
372 夜晚 下昏
372 夜裡 下昏
372 晚上 下昏
373 山東白菜 山東白仔
373 包心白菜 山東白仔
374 今晚 下昏暗
375 收養 乞的
375 討 乞的
375 養子女 乞的
375 養父母 乞的
376 直腸子 土直
376 剛直 土直
376 率真 土直
377 三隻手 三肢手
377 小偷 三肢手
377 扒手 三肢手
378 長久 久長
379 千金 千金
380 三長兩短 三長兩短
380 不測 三長兩短
381 長青苔 上青苔
382 久病 久長病
382 慢性病 久長病
383 千金譜 千金譜
384 大便 大便
385 大前年 大前年
386 大姨 大姨
386 姨 大姨
387 上帝 上帝
387 北極玄天上帝 上帝
387 玄天上帝 上帝
388 北極玄天上帝 上帝公
388 玄天上帝 上帝公
389 三思 三思
390 大後天 大後日
391 大後年 大後年
392 灰面鵟鷹 山後鳥
392 灰面鷲 山後鳥
