281,大兄,大哥,名,大哥、長兄。
282,工仔,小工,名,工人。靠勞力工作，以換取工資的人。
283,巾仔,巾,名,布巾類的總稱。
284,弓仔,彈簧,名,彈簧。利用有彈性的材料所製成的零件。
285,大主大意,擅作主張,動,擅作主張。指不聽從、不遵守上級或長輩的指示，擅自做決定。
286,大代誌,大事情,名,大事情。
287,上加,至多,副,最多、頂多。
288,上北,北上,動,北上。臺灣地理的觀念上，以北為上，南為下，所以向北出發即是「上北」。
289,下司,下屬,名,下屬、手下。
290,土包仔,土包子,名,土包子、鄉巴佬。形容缺乏見識、知識的人。
291,小可仔,少許,形,稍微、些微、少許。
292,大四界,到處,副,到處、每個地方。
293,上卌袂攝,中年,熟,卌為四十的意思，上卌表示人到中年的意思。這句話表示人到中年萬事休，生理機能走下坡，心理也逐漸失去青年時期意氣風發的理想。
294,下半暝,下半夜,時,下半夜、後半夜。夜晚十二點以後到天亮的時間。
295,上市,上市,動,物品、股票等開始在市場上發售或買賣。
296,下本,下本錢,動,投入本錢。
297,大本,大本錢,名,大號、大型的植物。
298,小旦,小旦,名,戲劇裡，飾演年輕貌美的女子的角色。
299,上目,青睞,形,指得人青睞之意。 
300,口白,口白,名,旁白。戲曲中人物的內心獨白以及對話。
301,大目,大眼睛,名,大眼睛。用來嘲諷人沒有看到近在眼前或目標明顯的東西。
302,小生,小生,名,戲劇裡，飾演年輕男子的角色，包括文生和武生。
303,小玉仔,小玉西瓜,名,小玉西瓜。瓜果類。果肉為黃色的西瓜。
304,小白菜,小白菜,名,葉菜類。形似油菜，葉柄呈白色，可食用，也可以入藥。
305,大甲蓆,大甲草蓆,名,大甲地區所產的優質草蓆，為大甲藺草所編，質地柔軟不易脆裂。
306,上任,上任,動,就職。擔任職務。
307,久仰,久仰,動,非常仰慕、仰慕很久了。是人際交往時初次見面的客套話。
308,干休,干休,副,停止、罷休。
309,大名,大名,名,用來尊稱別人的名字。
310,大囝,大兒子,名,長子、大兒子。稱謂。對長子的稱呼。
311,小名,外號,名,乳名、外號。非正式的名字。
312,小囝,小子,名,小子。是輕視別人的稱呼。
313,大同仔,青椒,名,青椒。瓜果類。主莖呈木質化，為低木狀，形狀像辣椒，可以食用。
314,上好,最好,形,最好、最佳的表現。
315,也好,也好,副,也好、也行。
316,土地,土地,名,指土壤或者是地表上面的部分。
317,土地公,土地公,名,民間信仰中守護地方的神，又叫做「福德正神」。
318,下早仔,今早,時,早上。
319,大耳,傻瓜,形,形容人不辨真假、輕信片面之詞。
320,大舌,口吃,動,口吃。講話結結巴巴、不清不楚。
321,大伯,大伯,名,稱謂。對人尊稱父親的兄長。
322,大位,主位,名,主位。宴會用餐時，最重要的席位，通常由德高望重者，或年長長輩入座。
323,工作,工作,名,作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。
324,山伯英台,梁山伯與祝英台,熟,著名的民間故事及戲曲劇目人物。梁山伯與祝英台同窗三年，才知英台是女扮男裝，二人相愛欲成夫妻，祝家卻將英台許配權貴，山伯相思而死，英台跳入山伯墳塚而亡，二人化為彩蝶，比翼雙飛。後也用來比喻苦戀的悲劇人物。
325,大妗,舅媽,名,大舅媽。稱謂。大舅的妻子。
326,山尾溜,山頂,名,山頂。
327,子弟,子弟,名,後生小輩。
328,小弟,小弟,名,稱謂。稱最年幼的弟弟或泛稱弟弟。
329,子弟戲,子弟戲,名,臺灣北管戲的俗稱，因為大多是由農村子弟組成的戲團，所以才叫做「子弟戲」。
330,三更,三更,時,子時、中夜。指夜間十一時至隔天凌晨一時。 
331,三更半暝,三更,時,三更半夜。
332,口灶,戶,量,戶、住戶。計算家庭的單位。
333,小肚,膀胱,無,膀胱。見【膀胱】phông-kong 條。
334,大肚胿,大肚子,名,指很大的肚子。
335,三角,三毛,名,三角形。
336,久見,久違,動,久違。好久不見，為久別重逢的寒暄語。
337,山谷,山谷,名,山溝。兩山之間低窪且狹窄的地方。
338,川芎,川芎,名,芎藭。草本植物。可入藥，有調經、活血、潤燥、止痛等療效。大多產於四川，所以稱為「川芎」。
339,川貝,川貝,名,貝母、藥實。草本植物。地下鱗莖為白色，形狀像集貝子，可以入藥。主要產地在中國四川。
340,干貝,干貝,名,蚌類扇貝上的肉經乾燥製成的食品。
341,千里眼,千里眼,名,神話傳說中的天神，是媽祖座前的神將，雙眼大而暴突，能看到極遠、極細、極隱蔽的東西。
342,三角窗,房子,名,位於路口轉角處的房子。
343,三角褲,三角褲,名,一種三角樣式的貼身內褲。
344,千里鏡,望遠鏡,名,望遠鏡。用來觀察天體或者是遠處物體的儀器。
345,久來,久而久之,副,久而久之。
346,口供,口供,名,訴訟關係人在被審問的時候，對案情的相關陳述。
347,大使,大使,名,地位最高的外交官員。派駐在邦交國，代表著國家和國家元首。
348,小事,小事,名,小事情。
349,小使,小弟,名,小弟、跑腿的。供人差遣的人。
350,工事,工程,名,工程。源自日語。
351,女兒,女兒,名,稱謂。父母親稱自己的女兒，此音讀通常出現在戲劇中。
352,小叔,小叔,名,稱謂。稱呼丈夫的弟弟。
353,小管仔,小卷,名,胴部呈圓錐形或長筒形，鰭較大，多位於後端。腕有十隻，有兩隻較長的觸腕，內有吸盤二行，觸腕穗吸盤四行。
354,小兒科,小兒科,名,專門診治兒童的醫學分科。
355,小兒麻痺,小兒麻痺,名,急性脊髓灰白質炎。病名。由濾過性病毒所引發的急性傳染病，病毒侵入中樞神經系統，破壞脊椎前角的神經，致使肌肉麻痺萎縮。
356,山坪,小山坡,名,山坡地。山凹間或山麓上較平坦的地或可耕地。
357,丈姆,丈母娘,名,丈母娘、岳母。稱謂。男子稱妻子的母親。
358,大姆,大伯母,名,大伯母。稱謂。用來稱呼父親大哥的妻子。
359,大姊,大姊,名,稱謂。用來稱呼姊妹之中年紀最大的。
360,大姑,大姑,名,稱謂。指父親的姊妹中年紀最長的。
361,小妹,小妹,名,稱謂。稱呼排行最小的妹妹或泛稱妹妹。
362,小姐,姑娘,名,姑娘。稱呼未婚的年輕女子。
363,小姑,小姑,名,稱謂。女子稱呼丈夫的妹妹。
364,丈姆婆,丈母娘,無,丈母娘、岳母。見【丈姆】tiūnn-ḿ 條。
365,下底,下面,位,下面、底下。與「頂面」(tíng-bīn)相對。
366,大官,公公,名,公公。媳婦對外人稱呼自己丈夫的父親為「大官」。
367,大官虎,官僚,名,權臣、官僚。仗著官位權勢擺威風、魚肉百姓的人。
368,土性,粗魯,形,形容人的個性較粗魯、率直。
369,下性命,拚命,副,拚命。豁出性命，全力以赴。
370,大房,長房,名,長房。指家族中嫡長子所屬的家系。
371,大拖,大拖,名,用來當作曬穀時集中穀子的農具。約二尺半長、一尺多寬的長型木板，上有一柄，兩邊有繩索，由兩人共同拖曳，將大量稻穀集中一處放置處理。
372,下昏,今晚,時,晚上。
373,山東白仔,山東白菜,名,包心白菜、山東白菜。葉菜類。營養豐富，具有清熱利尿、降血壓、預防感冒、健胃整腸等功效。
374,下昏暗,今晚,時,今晚、今天晚上。
375,乞的,收養,名,養子女。
376,土直,直腸子,形,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。
377,三肢手,三隻手,無,扒手。見【剪綹仔】tsián-liú-á 條。
378,久長,長久,形,長久。時間長遠悠久。
379,千金,千金,名,禮貌性的稱呼別人的女兒。
380,三長兩短,三長兩短,形,指意外不測、變故，多指死亡。
381,上青苔,長青苔,動,長青苔。
382,久長病,久病,名,久病、慢性病。
383,千金譜,千金譜,名,書名。臺灣正式推行小學教育前的一種兒童啟蒙書。教導學生商業所需的知識、記帳用語，因開頭第一句話為「字是隨身寶，財是國家珍，一字值千金，千金難買聖賢心」而得名。
384,大便,大便,動,排泄糞便。
385,大前年,大前年,時,前年的前一年，即今年以前的第三年。
386,大姨,大姨,名,稱謂。母親的大姊。
387,上帝,上帝,名,傳說中創造萬物的神祇。
388,上帝公,北極玄天上帝,名,玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。
389,三思,三思,動,謹慎、仔細的考慮。
390,大後日,大後天,時,大後天。
391,大後年,大後年,時,後年之後的第一年。
392,山後鳥,灰面鵟鷹,無,灰面鵟鷹、灰面鷲。見【南路鷹】lâm-lōo-ing 條。
393,也是,也是,副,還是、也是。
394,才是,才是,副,才是。
395,大昨日,大前天,時,大前天。
396,大某,正室,名,正室、髮妻。即明媒正娶的大老婆。
397,山洞,山洞,名,位在山林之中，自然形成的洞穴。
398,三牲,三牲,名,本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。
399,三界公,三官大帝,名,三官大帝、三界爺。道教中地位僅次於玉皇大帝的天、地、水三官，分別掌管賜福、赦罪、解厄。
400,三界娘仔,食蚊魚,名,將魚、食蚊魚。魚名。是臺灣瀕臨絕種魚類之一，類似大肚魚，大多生長在清水溝及稻田內，可以食用。
401,山珍海味,山珍海味,名,山中和海中所生產的各式各樣的珍貴食品。
402,山苳蒿,昭和草,名,昭和草。草本植物。莖葉鮮綠柔軟，葉緣呈鋸齒狀，花為紅褐色，果實被絨毛。春季為最佳的採集季節，可以食用。遭蟲咬傷或擦傷，也可將莖葉搗碎敷於患部。
403,低音,低音,名,樂譜中其音低於基礎音者。
404,乞食,乞丐,名,乞丐、叫花子。靠要錢、要飯過活的人。
405,口面,外面,名,外面。外頭、外部。
406,口音,口音,名,各地方所特有的說話方式及腔調。
407,乞食命,乞丐命,名,指生來就得靠要錢、要飯過日子的命運。
408,大面神,不在乎,形,厚臉皮。不知羞恥的樣子。
409,乞食琴,月琴,無,月琴。見【月琴】gue̍h-khîm 條。
410,乞食頭,乞丐頭子,名,丐頭、乞丐頭子。乞丐的首領。
411,土匪,土匪,名,為非作歹、打家劫舍的匪徒。
412,大厝,大房子,名,大房子、廣廈。
413,大哥,大哥,名,稱謂。兄弟中排行最大的、最年長的。
